action_type,combined_shot_type,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,label
Jump Shot,Jump Shot,33.7983,-65,246,-118.3348,0,1,0,11-Dec,0,25,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,MIN,0
Jump Shot,Jump Shot,33.9153,-65,129,-118.3348,5,2,0,11-Dec,28,14,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,MIN,1
Driving Reverse Layup Shot,Layup,34.0403,-11,4,-118.2808,4,2,0,11-Dec,52,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,MIN,
Step Back Jump shot,Jump Shot,33.9323,136,112,-118.1338,4,2,0,11-Dec,16,17,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,MIN,0
Turnaround Bank shot,Bank Shot,34.0003,-84,44,-118.3538,3,2,0,11-Dec,15,9,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,MIN,1
Jump Shot,Jump Shot,33.9893,-43,55,-118.3128,2,2,0,11-Dec,47,6,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,MIN,0
Turnaround Jump Shot,Jump Shot,34.0163,-56,28,-118.3258,2,2,0,11-Dec,2,6,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,MIN,0
Pullup Jump shot,Jump Shot,33.9103,-116,134,-118.3858,1,2,0,11-Dec,20,17,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,MIN,0
Jump Shot,Jump Shot,33.9263,-71,118,-118.3408,0,2,0,11-Dec,23,13,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,MIN,1
Jump Shot,Jump Shot,33.8653,-187,179,-118.4568,11,3,0,11-Dec,13,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,MIN,
Jump Shot,Jump Shot,33.8413,155,203,-118.1148,10,3,0,11-Dec,7,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,MIN,1
Jump Shot,Jump Shot,33.9213,-7,123,-118.2768,8,3,0,11-Dec,42,12,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,MIN,0
Jump Shot,Jump Shot,33.7973,0,247,-118.2698,5,3,0,11-Dec,45,24,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,MIN,1
Jump Shot,Jump Shot,33.8613,176,183,-118.0938,4,3,0,11-Dec,7,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,MIN,1
Jump Shot,Jump Shot,33.8173,113,227,-118.1568,3,3,0,11-Dec,19,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,MIN,0
Jump Shot,Jump Shot,34.0493,-224,-5,-118.4938,2,3,0,11-Dec,10,22,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,MIN,0
Driving Jump shot,Jump Shot,33.9773,32,67,-118.2378,1,3,0,11-Dec,1,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,MIN,0
Layup Shot,Layup,34.0443,-7,0,-118.2768,0,3,0,11-Dec,10,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,MIN,0
Jump Shot,Jump Shot,33.7203,-193,324,-118.4628,0,3,0,11-Dec,0,37,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,MIN,0
Jump Shot,Jump Shot,34.0373,-228,7,-118.4978,11,4,0,11-Dec,18,22,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,MIN,1
Jump Shot,Jump Shot,34.0223,159,22,-118.1108,7,4,0,11-Dec,26,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,MIN,1
Pullup Jump shot,Jump Shot,33.8853,-38,159,-118.3078,4,4,0,11-Dec,29,16,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,MIN,0
Pullup Jump shot,Jump Shot,33.9233,-52,121,-118.3218,1,4,0,11-Dec,16,13,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,MIN,1
Running Jump Shot,Jump Shot,33.9623,2,82,-118.2678,0,4,0,11-Dec,28,8,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,MIN,1
Jump Shot,Jump Shot,33.8903,143,154,-118.1268,11,1,0,11-Dec,45,21,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,CHA,0
Jump Shot,Jump Shot,33.8443,-166,200,-118.4358,9,1,0,11-Dec,49,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,CHA,1
Jump Shot,Jump Shot,33.8803,196,164,-118.0738,9,1,0,11-Dec,21,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,CHA,1
Jump Shot,Jump Shot,33.8163,143,228,-118.1268,7,1,0,11-Dec,52,26,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,CHA,0
Layup Shot,Layup,34.0443,9,0,-118.2608,6,1,0,11-Dec,41,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,CHA,1
Fadeaway Jump Shot,Jump Shot,33.8763,113,168,-118.1568,4,1,0,11-Dec,46,20,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,CHA,1
Jump Shot,Jump Shot,33.8393,-168,205,-118.4378,4,1,0,11-Dec,1,26,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,CHA,
Jump Shot,Jump Shot,33.9783,-30,66,-118.2998,3,1,0,11-Dec,36,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,CHA,1
Jump Shot,Jump Shot,34.0373,166,7,-118.1038,2,1,0,11-Dec,54,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,CHA,1
Running Jump Shot,Jump Shot,33.9643,-59,80,-118.3288,2,1,0,11-Dec,24,9,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,CHA,1
Jump Shot,Jump Shot,33.8873,198,157,-118.0718,1,1,0,11-Dec,46,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,CHA,0
Jump Shot,Jump Shot,33.7843,-138,260,-118.4078,0,1,0,11-Dec,1,29,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,CHA,0
Jump Shot,Jump Shot,33.9023,103,142,-118.1668,5,2,0,11-Dec,28,17,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,CHA,1
Jump Shot,Jump Shot,33.9583,97,86,-118.1728,3,2,0,11-Dec,7,12,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,CHA,
Running Jump Shot,Jump Shot,33.9453,-52,99,-118.3218,0,2,0,11-Dec,57,11,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,CHA,1
Jump Shot,Jump Shot,34.0323,236,12,-118.0338,0,2,0,11-Dec,1,23,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,CHA,0
Jump Shot,Jump Shot,33.7763,1,268,-118.2688,10,3,0,11-Dec,47,26,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,CHA,0
Jump Shot,Jump Shot,34.0083,234,36,-118.0358,10,3,0,11-Dec,7,23,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,CHA,0
Jump Shot,Jump Shot,34.0383,39,6,-118.2308,7,3,0,11-Dec,35,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,CHA,0
Jump Shot,Jump Shot,33.8283,-155,216,-118.4248,5,3,0,11-Dec,3,26,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,CHA,0
Jump Shot,Jump Shot,33.8253,144,219,-118.1258,1,3,0,11-Dec,5,26,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,CHA,0
Jump Shot,Jump Shot,33.8523,176,192,-118.0938,10,1,0,11-Dec,3,26,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DEN,0
Running Jump Shot,Jump Shot,33.9893,-2,55,-118.2718,6,1,0,11-Dec,55,5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,DEN,0
Layup Shot,Layup,34.0463,-10,-2,-118.2798,5,1,0,11-Dec,54,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,1
Jump Shot,Jump Shot,33.8963,132,148,-118.1378,3,1,0,11-Dec,35,19,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DEN,1
Turnaround Fadeaway shot,Jump Shot,34.0443,-139,0,-118.4088,6,2,0,11-Dec,26,13,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,DEN,0
Layup Shot,Layup,34.0403,15,4,-118.2548,5,2,0,11-Dec,25,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,0
Jump Shot,Jump Shot,33.8433,-37,201,-118.3068,4,2,0,11-Dec,59,20,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,DEN,0
Jump Shot,Jump Shot,33.9123,-108,132,-118.3778,1,2,0,11-Dec,36,17,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,DEN,0
Layup Shot,Layup,34.0353,0,9,-118.2698,1,2,0,11-Dec,20,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,0
Jump Bank Shot,Jump Shot,34.0193,-131,25,-118.4008,0,2,0,11-Dec,15,13,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,DEN,0
Running Jump Shot,Jump Shot,34.0143,21,30,-118.2488,11,3,0,11-Dec,9,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,0
Jump Shot,Jump Shot,33.8883,-201,156,-118.4708,10,3,0,11-Dec,7,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DEN,0
Jump Shot,Jump Shot,33.9753,29,69,-118.2408,7,3,0,11-Dec,38,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,DEN,1
Jump Bank Shot,Jump Shot,33.9663,-152,78,-118.4218,5,3,0,11-Dec,50,17,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DEN,
Layup Shot,Layup,34.0333,15,11,-118.2548,3,3,0,11-Dec,36,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,0
Jump Bank Shot,Jump Shot,34.0163,-174,28,-118.4438,2,3,0,11-Dec,42,17,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DEN,0
Driving Reverse Layup Shot,Layup,34.0383,7,6,-118.2628,1,3,0,11-Dec,19,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,1
Layup Shot,Layup,34.0353,-7,9,-118.2768,0,3,0,11-Dec,29,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,1
Jump Shot,Jump Shot,33.9843,-26,60,-118.2958,7,4,0,11-Dec,58,6,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,DEN,0
Jump Shot,Jump Shot,33.9313,-224,113,-118.4938,7,4,0,11-Dec,23,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DEN,1
Jump Shot,Jump Shot,33.8763,193,168,-118.0768,4,4,0,11-Dec,1,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DEN,0
Driving Layup Shot,Layup,34.0383,-16,6,-118.2858,1,4,0,11-Dec,59,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,
Running Jump Shot,Jump Shot,33.9773,26,67,-118.2438,1,4,0,11-Dec,45,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,DEN,0
Jump Shot,Jump Shot,34.0083,0,36,-118.2698,4,1,0,11-Dec,56,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,UTA,0
Jump Shot,Jump Shot,34.0383,-106,6,-118.3758,2,1,0,11-Dec,6,10,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,UTA,0
Layup Shot,Layup,34.0143,-2,30,-118.2718,1,1,0,11-Dec,53,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,UTA,1
Driving Layup Shot,Layup,34.0433,1,1,-118.2688,1,1,0,11-Dec,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,UTA,1
Jump Shot,Jump Shot,34.0583,163,-14,-118.1068,4,2,0,11-Dec,13,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,UTA,0
Jump Shot,Jump Shot,34.0243,-32,20,-118.3018,4,2,0,11-Dec,1,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,UTA,0
Jump Shot,Jump Shot,33.8333,146,211,-118.1238,2,2,0,11-Dec,39,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,UTA,
Jump Shot,Jump Shot,33.8503,-73,194,-118.3428,2,2,0,11-Dec,5,20,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,UTA,1
Jump Shot,Jump Shot,33.8243,105,220,-118.1648,2,3,0,11-Dec,31,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,UTA,0
Jump Shot,Jump Shot,33.8253,110,219,-118.1598,8,4,0,11-Dec,23,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,UTA,0
Jump Shot,Jump Shot,33.8093,116,235,-118.1538,5,4,0,11-Dec,57,26,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,UTA,1
Jump Shot,Jump Shot,33.8303,113,214,-118.1568,5,4,0,11-Dec,23,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,UTA,1
Running Jump Shot,Jump Shot,33.9623,43,82,-118.2268,4,4,0,11-Dec,9,9,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,UTA,0
Jump Shot,Jump Shot,34.0113,-59,33,-118.3288,3,4,0,11-Dec,33,6,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,UTA,0
Jump Shot,Jump Shot,34.0763,-210,-32,-118.4798,2,4,0,11-Dec,12,21,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,UTA,0
Jump Shot,Jump Shot,33.8223,-182,222,-118.4518,1,4,0,11-Dec,50,28,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,UTA,0
Jump Shot,Jump Shot,33.8853,-207,159,-118.4768,11,1,0,11-Dec,43,26,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,PHI,0
Step Back Jump shot,Jump Shot,34.0763,-182,-32,-118.4518,9,1,0,11-Dec,41,18,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,PHI,1
Jump Shot,Jump Shot,33.8353,118,209,-118.1518,8,1,0,11-Dec,14,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,PHI,
Tip Shot,Tip Shot,34.0333,-4,11,-118.2738,5,1,0,11-Dec,58,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,PHI,0
Jump Shot,Jump Shot,33.9853,-12,59,-118.2818,5,1,0,11-Dec,54,6,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,PHI,0
Jump Shot,Jump Shot,33.9393,-112,105,-118.3818,5,1,0,11-Dec,15,15,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,PHI,0
Fadeaway Jump Shot,Jump Shot,34.0713,143,-27,-118.1268,4,1,0,11-Dec,14,14,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,PHI,
Pullup Jump shot,Jump Shot,33.8683,136,176,-118.1338,3,1,0,11-Dec,0,22,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,PHI,1
Pullup Jump shot,Jump Shot,33.8063,-171,238,-118.4408,1,1,0,11-Dec,26,29,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,PHI,1
Pullup Jump shot,Jump Shot,33.8393,121,205,-118.1488,7,2,0,11-Dec,31,23,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,PHI,1
Pullup Jump shot,Jump Shot,33.8433,-174,201,-118.4438,6,2,0,11-Dec,53,26,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,PHI,1
Jump Shot,Jump Shot,33.8203,67,224,-118.2028,5,2,0,11-Dec,8,23,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,PHI,1
Jump Shot,Jump Shot,34.0573,184,-13,-118.0858,0,2,0,11-Dec,7,18,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,PHI,0
Jump Shot,Jump Shot,34.0293,230,15,-118.0398,0,2,0,11-Dec,3,23,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,PHI,
Reverse Layup Shot,Layup,34.0403,-27,4,-118.2968,2,3,0,11-Dec,56,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,PHI,1
Jump Shot,Jump Shot,33.9883,244,56,-118.0258,0,3,0,11-Dec,50,25,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,PHI,0
Jump Shot,Jump Shot,33.8313,-198,213,-118.4678,11,4,0,11-Dec,38,29,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,PHI,0
Jump Shot,Jump Shot,34.0413,-172,3,-118.4418,11,4,0,11-Dec,6,17,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,PHI,0
Jump Shot,Jump Shot,34.0433,-71,1,-118.3408,8,4,0,11-Dec,10,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,PHI,0
Jump Shot,Jump Shot,33.9403,84,104,-118.1858,2,4,0,11-Dec,51,13,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,PHI,0
Jump Shot,Jump Shot,34.0473,116,-3,-118.1538,2,4,0,11-Dec,16,11,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,PHI,0
Jump Shot,Jump Shot,33.8413,181,203,-118.0888,1,4,0,11-Dec,38,27,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,PHI,0
Jump Shot,Jump Shot,33.9343,-95,110,-118.3648,1,4,0,11-Dec,27,14,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,PHI,0
Fadeaway Jump Shot,Jump Shot,34.0003,81,44,-118.1888,1,4,0,11-Dec,6,9,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,PHI,1
Jump Shot,Jump Shot,33.9673,-57,77,-118.3268,0,4,0,11-Dec,31,9,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,PHI,
Jump Shot,Jump Shot,33.8303,166,214,-118.1038,0,4,0,11-Dec,5,27,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,PHI,
Jump Shot,Jump Shot,33.8693,149,175,-118.1208,2,1,0,11-Dec,54,22,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,BOS,1
Turnaround Jump Shot,Jump Shot,33.9393,17,105,-118.2528,0,1,0,11-Dec,58,10,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,BOS,1
Step Back Jump shot,Jump Shot,33.8573,-24,187,-118.2938,5,2,0,11-Dec,36,18,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,BOS,1
Step Back Jump shot,Jump Shot,33.9233,141,121,-118.1288,4,2,0,11-Dec,14,18,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,BOS,1
Jump Shot,Jump Shot,33.9283,-59,116,-118.3288,1,2,0,11-Dec,33,13,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,BOS,
Jump Shot,Jump Shot,33.8873,133,157,-118.1368,0,2,0,11-Dec,2,20,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,BOS,0
Fadeaway Jump Shot,Jump Shot,34.0473,-231,-3,-118.5008,10,3,0,11-Dec,11,23,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,BOS,0
Jump Shot,Jump Shot,33.9023,99,142,-118.1708,8,3,0,11-Dec,49,17,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,BOS,0
Alley Oop Dunk Shot,Dunk,34.0413,0,3,-118.2698,8,3,0,11-Dec,4,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,BOS,
Jump Shot,Jump Shot,34.0333,160,11,-118.1098,7,3,0,11-Dec,24,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,BOS,0
Turnaround Jump Shot,Jump Shot,34.0383,138,6,-118.1318,6,3,0,11-Dec,5,13,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,BOS,0
Dunk Shot,Dunk,34.0443,1,0,-118.2688,5,3,0,11-Dec,52,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,BOS,
Jump Shot,Jump Shot,33.8393,-150,205,-118.4198,4,3,0,11-Dec,9,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,BOS,0
Jump Shot,Jump Shot,34.0003,2,44,-118.2678,3,3,0,11-Dec,41,4,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,BOS,
Turnaround Bank shot,Bank Shot,34.0083,97,36,-118.1728,2,3,0,11-Dec,10,10,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,BOS,1
Fadeaway Jump Shot,Jump Shot,33.9833,103,61,-118.1668,1,3,0,11-Dec,34,11,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,BOS,1
Fadeaway Jump Shot,Jump Shot,34.0333,-164,11,-118.4338,4,4,0,11-Dec,9,16,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,BOS,
Fadeaway Jump Shot,Jump Shot,33.9963,95,48,-118.1748,3,4,0,11-Dec,18,10,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,BOS,
Fadeaway Jump Shot,Jump Shot,34.0333,-109,11,-118.3788,0,4,0,11-Dec,10,10,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,BOS,0
Fadeaway Jump Shot,Jump Shot,34.0023,-127,42,-118.3968,4,5,0,11-Dec,40,13,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,BOS,0
Fadeaway Jump Shot,Jump Shot,33.9093,-142,135,-118.4118,3,5,0,11-Dec,35,19,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,BOS,1
Jump Shot,Jump Shot,34.0373,95,7,-118.1748,1,5,0,11-Dec,30,9,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,BOS,0
Jump Shot,Jump Shot,34.0383,-134,6,-118.4038,0,5,0,11-Dec,49,13,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,BOS,0
Jump Shot,Jump Shot,33.9503,-130,94,-118.3998,0,5,0,11-Dec,7,16,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,BOS,0
Jump Shot,Jump Shot,34.0503,162,-6,-118.1078,10,1,0,11-Dec,53,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,NYK,0
Fadeaway Jump Shot,Jump Shot,33.9883,-59,56,-118.3288,6,1,0,11-Dec,50,8,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,NYK,0
Jump Shot,Jump Shot,33.8723,176,172,-118.0938,4,1,0,11-Dec,37,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,NYK,0
Driving Reverse Layup Shot,Layup,34.0353,17,9,-118.2528,2,1,0,11-Dec,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,NYK,1
Turnaround Jump Shot,Jump Shot,34.0373,168,7,-118.1018,1,1,0,11-Dec,24,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,NYK,0
Jump Shot,Jump Shot,33.9693,-130,75,-118.3998,2,2,0,11-Dec,51,15,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,NYK,0
Jump Shot,Jump Shot,33.9363,-139,108,-118.4088,11,3,0,11-Dec,42,17,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,NYK,0
Jump Shot,Jump Shot,33.9473,-136,97,-118.4058,9,3,0,11-Dec,10,16,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,NYK,0
Turnaround Jump Shot,Jump Shot,34.0383,-138,6,-118.4078,8,3,0,11-Dec,8,13,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,NYK,0
Jump Shot,Jump Shot,33.9733,171,71,-118.0988,7,3,0,11-Dec,16,18,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,NYK,0
Jump Shot,Jump Shot,33.8493,-161,195,-118.4308,6,3,0,11-Dec,44,25,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,NYK,0
Turnaround Jump Shot,Jump Shot,34.0793,135,-35,-118.1348,5,3,0,11-Dec,27,13,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,NYK,1
Fadeaway Jump Shot,Jump Shot,33.9093,102,135,-118.1678,5,3,0,11-Dec,1,16,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,NYK,
Jump Shot,Jump Shot,33.9403,230,104,-118.0398,4,3,0,11-Dec,21,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,NYK,0
Fadeaway Jump Shot,Jump Shot,34.0163,-169,28,-118.4388,2,3,0,11-Dec,25,17,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,NYK,1
Jump Shot,Jump Shot,34.0693,-117,-25,-118.3868,0,3,0,11-Dec,52,11,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,NYK,1
Turnaround Jump Shot,Jump Shot,33.9593,146,85,-118.1238,0,3,0,11-Dec,33,16,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,NYK,1
Jump Shot,Jump Shot,34.0083,184,36,-118.0858,11,4,0,11-Dec,28,18,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,NYK,0
Driving Layup Shot,Layup,34.0373,21,7,-118.2488,11,4,0,11-Dec,8,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,NYK,0
Driving Layup Shot,Layup,34.0383,-11,6,-118.2808,10,4,0,11-Dec,42,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,NYK,
Jump Shot,Jump Shot,33.9393,-122,105,-118.3918,8,4,0,11-Dec,52,16,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,NYK,0
Fadeaway Jump Shot,Jump Shot,34.0493,149,-5,-118.1208,6,4,0,11-Dec,36,14,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,NYK,1
Jump Shot,Jump Shot,33.8553,78,189,-118.1918,5,4,0,11-Dec,54,20,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,NYK,0
Jump Shot,Jump Shot,34.0273,146,17,-118.1238,4,4,0,11-Dec,0,14,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,NYK,1
Jump Shot,Jump Shot,33.9023,-194,142,-118.4638,3,4,0,11-Dec,19,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,NYK,0
Layup Shot,Layup,34.0473,-21,-3,-118.2908,3,4,0,11-Dec,5,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,NYK,0
Fadeaway Jump Shot,Jump Shot,34.0763,-123,-32,-118.3928,2,4,0,11-Dec,17,12,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,NYK,
Jump Shot,Jump Shot,33.9843,-157,60,-118.4268,1,4,0,11-Dec,44,16,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,NYK,0
